agente,score,duracao,rank_max,prog_max
aleatorio,288000,114.64999389648438,3,7
aleatorio,247250,120.59166717529297,1,5
aleatorio,204750,96.81666564941406,4,4
aleatorio,178500,96.06666564941406,4,6
aleatorio,585500,217.9833221435547,3,4
aleatorio,355500,161.09165954589844,4,4
aleatorio,188250,87.33332824707031,4,6
aleatorio,355750,124.54999542236328,1,7
aleatorio,478250,172.9916534423828,2,3
aleatorio,662000,301.5583190917969,1,4
aleatorio,294250,145.1083221435547,2,4
aleatorio,580750,150.76666259765625,2,5
ppo,5111250,607.5,1,12
ppo,2246000,404.6583251953125,3,6
ppo,4567750,518.2249755859375,3,15
ppo,913750,251.30833435058594,4,4
ppo,3609750,607.5,2,18
ppo,6332000,607.5,1,15
ppo,1783250,287.5,4,6
ppo,1715500,317.691650390625,3,8
ppo,5582000,570.3916015625,4,18
ppo,5549000,586.3583374023438,3,18
ppo,3929000,444.13330078125,4,12
ppo,2504250,363.1583251953125,4,6
