episodio,score,passos,segundos_jogo,bolas_usadas
922,165750,12183,101.53,3
923,174000,12356,102.97,3
924,639250,26676,222.30,3
925,474750,24301,202.51,3
926,252250,16759,139.66,3
927,252750,15869,132.24,3
928,518250,19021,158.51,3
929,836000,34428,286.90,3
930,389500,19930,166.08,3
931,696750,30722,256.02,3
932,325750,14242,118.68,3
933,400000,18382,153.18,3
934,259000,13448,112.07,3
935,431250,25427,211.89,3
936,1254000,25703,214.19,3
937,801000,32946,274.55,3
938,565750,29093,242.44,3
939,250750,12875,107.29,3
940,382750,20552,171.27,3
941,216000,13757,114.64,3
942,321000,14701,122.51,3
943,299000,15090,125.75,3
944,762250,17888,149.07,3
945,392250,25809,215.07,3
946,122750,9798,81.65,3
947,1686750,43202,360.02,3
948,282250,16697,139.14,3
949,301250,17188,143.23,3
950,259250,15502,129.18,3
951,173000,13274,110.62,3
952,118250,7137,59.47,3
953,1695250,23441,195.34,3
954,559000,23646,197.05,3
955,142500,9714,80.95,3
956,1008250,22399,186.66,3
957,285500,15466,128.88,3
958,401500,23991,199.93,3
959,185000,8174,68.12,3
960,177000,13489,112.41,3
961,207000,10772,89.77,3
962,785250,38424,320.20,3
963,512500,25616,213.47,3
964,662250,19742,164.52,3
965,414750,17129,142.74,3
966,239750,13973,116.44,3
967,584500,29946,249.55,3
968,1072750,26278,218.98,3
969,373750,20287,169.06,3
970,537000,19660,163.83,3
971,816750,21427,178.56,3
972,528500,20546,171.22,3
973,356000,19893,165.77,3
974,370500,15327,127.72,3
975,285000,15736,131.13,3
976,412000,22528,187.73,3
977,499000,30511,254.26,3
978,442500,24624,205.20,3
979,117000,8199,68.32,3
