modelo,passos,tipo,ep,score,duracao,alvos,missoes,vel,parada,topo
escala_7499988_steps.zip,7499988,checkpoint,2,885750,256.51666259765625,9,0,9.405432939529419,8.713984539704848,28.53127196064652
escala_7499988_steps.zip,7499988,checkpoint,3,202000,101.0250015258789,0,0,9.159269332885742,12.536754878374767,31.970061480887463
escala_7499988_steps.zip,7499988,checkpoint,4,3483250,307.5,8,2,9.998361468315125,6.4,26.416666666666664
escala_7499988_steps.zip,7499988,checkpoint,5,2450250,269.5333251953125,7,1,9.105190336704254,6.821217324937989,21.89467658843732
escala_7499988_steps.zip,7499988,checkpoint,6,1813250,307.5,11,0,9.756325483322144,10.083333333333332,20.433333333333334
escala_7499988_steps.zip,7499988,checkpoint,7,2335750,307.5,14,2,9.081945419311523,9.475,22.78333333333333
escala_7499988_steps.zip,7499988,checkpoint,8,3663000,307.5,9,1,10.058260560035706,8.225,24.566666666666666
escala_7499988_steps.zip,7499988,checkpoint,9,1631750,307.5,6,1,10.678333044052124,7.658333333333333,33.675
escala_7499988_steps.zip,7499988,checkpoint,10,1457000,286.2250061035156,8,0,10.142734050750732,9.086016683110593,23.84967261637815
escala_7499988_steps.zip,7499988,checkpoint,11,1766000,307.5,7,1,9.659546613693237,8.133333333333333,22.483333333333334
