ep,score,tempo,extras,medal,rank,missoes,truncado
0,475000,136.5,0,4,3,0,0
1,3039250,392.7916564941406,1,21,2,1,0
2,3390750,586.375,0,18,2,2,0
3,3568750,528.2999877929688,0,20,3,1,0
4,1597000,268.75,0,10,2,1,0
5,6712000,802.5916137695312,0,15,3,5,0
6,1861500,331.00830078125,0,13,4,1,0
7,2433000,357.066650390625,1,7,1,1,0
8,2842500,465.5916442871094,0,8,0,2,0
9,1772500,350.3416442871094,0,8,6,1,0
