score,duracao,truncado
83000,602.8916015625,1
47750,607.5,1
448250,136.9250030517578,0
7500,607.5,1
17500,607.5,1
165000,607.5,1
166000,607.5,1
37500,607.5,1
15500,607.5,1
9750,607.5,1
