ep,score,tempo,extras,medal,rank,missoes,truncado
0,723000,264.01666259765625,0,8,2,0,0
1,365750,152.566650390625,0,4,2,0,0
2,1828000,350.8083190917969,1,23,2,1,0
3,2547250,446.4833068847656,0,32,3,1,0
4,1460250,310.1833190917969,0,14,3,1,0
5,1010750,279.941650390625,0,14,2,0,0
