fase,score,duracao
antes,433500,164.51666259765625
antes,436750,147.89166259765625
antes,235750,96.6500015258789
antes,452250,197.6999969482422
antes,337250,159.7083282470703
antes,392250,152.79165649414062
antes,265750,156.04165649414062
antes,443500,192.4916534423828
antes,313000,130.76666259765625
antes,276750,115.09999084472656
antes,488500,174.63333129882812
antes,244000,120.52499389648438
antes,221500,115.07498931884766
antes,283500,156.8666534423828
antes,279250,156.75
antes,376000,122.88333129882812
antes,461750,185.691650390625
antes,161000,128.16665649414062
antes,212500,99.82499694824219
antes,307250,144.4250030517578
antes,549000,185.16665649414062
antes,305000,136.5749969482422
antes,231250,104.19166564941406
antes,444000,195.02499389648438
antes,252000,109.09999084472656
antes,341750,126.67499542236328
antes,1150000,238.38333129882812
antes,260000,91.4333267211914
antes,909750,186.60000610351562
antes,391000,158.34165954589844
antes,1033750,193.0500030517578
antes,129500,76.14166259765625
antes,342500,161.18333435058594
antes,705500,214.816650390625
antes,480250,161.79165649414062
antes,1065750,154.4916534423828
antes,201750,98.08332824707031
antes,368000,134.066650390625
antes,420000,214.16665649414062
antes,302250,100.0583267211914
depois,96250,69.36666107177734
depois,525000,119.6583251953125
depois,206000,307.5
depois,127750,71.70832824707031
depois,8250,307.5
depois,110750,307.5
depois,122250,73.89166259765625
depois,154500,307.5
depois,86250,307.5
depois,158750,307.5
depois,61500,307.5
depois,4500,307.5
depois,158000,307.5
depois,7000,307.5
depois,37250,307.5
depois,65750,307.5
depois,78250,307.5
depois,285750,112.74166107177734
depois,114500,307.5
depois,18750,307.5
depois,51500,307.5
depois,8000,307.5
depois,13500,307.5
depois,113750,307.5
depois,20750,307.5
depois,9000,307.5
depois,180500,96.84166717529297
depois,155250,307.5
depois,347250,113.73332977294922
depois,6000,307.5
depois,79750,307.5
depois,37750,307.5
depois,14500,307.5
depois,18250,307.5
depois,95500,59.15833282470703
depois,12250,306.8583068847656
depois,35750,307.5
depois,35500,307.5
depois,49000,307.5
depois,78500,307.5
