episodio,passo,tempo_s,x,y,vx,vy,speed,score,bolas_restantes,luzes,mult,acao_esq,acao_dir,flip_esq,flip_dir,rel_esq_x,rel_esq_y,rel_dir_x,rel_dir_y,tela_x,tela_y
0,4,7.6,-7.0207,11.6705,0.0,0.0069,0.0069,0,3,13,0,0,1,0.0,1.0,-9.509,-0.393,-4.532,-0.393,325,375
0,8,7.7,-7.0207,11.6719,0.0,-0.0379,0.0379,0,3,13,0,0,1,0.0,1.0,-9.509,-0.391,-4.532,-0.391,325,375
0,12,7.8,-7.0207,11.672,-0.0001,-0.0324,0.0324,0,3,13,0,0,1,0.0,1.0,-9.509,-0.391,-4.532,-0.391,325,375
0,16,7.9,-7.0207,11.672,0.0002,-0.0331,0.0331,0,3,13,0,0,1,0.0,1.0,-9.509,-0.391,-4.532,-0.391,325,375
0,20,8.0,-7.0207,11.672,-0.0001,-0.033,0.033,0,3,13,0,0,1,0.0,1.0,-9.509,-0.391,-4.532,-0.391,325,375
0,24,8.1,-7.0207,11.672,0.0001,-0.033,0.033,0,3,13,0,0,1,0.0,1.0,-9.509,-0.391,-4.532,-0.391,325,375
0,28,8.2,-7.0207,11.672,0.0001,-0.033,0.033,0,3,13,0,0,1,0.0,1.0,-9.509,-0.391,-4.532,-0.391,325,375
0,32,8.3,-7.0207,11.672,0.0001,-0.033,0.033,0,3,13,0,0,1,0.0,1.0,-9.509,-0.391,-4.532,-0.391,325,375
0,36,8.4,-7.0207,11.672,-0.0001,-0.033,0.033,0,3,13,0,0,1,0.0,1.0,-9.509,-0.391,-4.532,-0.391,325,375
0,40,8.5,-7.0207,11.672,-0.0,-0.033,0.033,0,3,13,0,0,1,0.0,1.0,-9.509,-0.391,-4.532,-0.391,325,375
0,44,8.6,-7.0207,11.672,-0.0001,-0.033,0.033,0,3,13,0,0,1,0.0,1.0,-9.509,-0.391,-4.532,-0.391,325,375
0,48,8.7,-7.0207,11.672,-0.0,-0.033,0.033,0,3,13,0,0,1,0.0,1.0,-9.509,-0.391,-4.532,-0.391,325,375
0,52,8.8,-7.0207,11.672,0.0,-0.033,0.033,0,3,13,0,0,1,0.0,1.0,-9.509,-0.391,-4.532,-0.391,325,375
0,56,8.9,-7.0207,11.672,-0.0001,-0.033,0.033,0,3,13,0,0,1,0.0,1.0,-9.509,-0.391,-4.532,-0.391,325,375
0,60,9.0,-7.0207,11.672,-0.0001,-0.033,0.033,0,3,13,0,0,1,0.0,1.0,-9.51,-0.391,-4.532,-0.391,325,375
0,64,9.1,-7.0207,11.672,-0.0001,-0.033,0.033,0,3,13,0,0,1,0.0,1.0,-9.51,-0.391,-4.532,-0.391,325,375
0,68,9.2,-7.0207,11.672,-0.0001,-0.033,0.033,0,3,13,0,0,1,0.0,1.0,-9.51,-0.391,-4.532,-0.391,325,375
0,72,9.3,-7.0207,11.672,-0.0002,-0.033,0.033,0,3,13,0,0,1,0.0,1.0,-9.51,-0.391,-4.532,-0.391,325,375
0,76,9.4,-7.0207,11.672,-0.0001,-0.033,0.033,0,3,13,0,0,1,0.0,1.0,-9.51,-0.391,-4.532,-0.391,325,375
